#Network|Station|Latitude|Longitude|Elevation|SiteName|StartTime|EndTime
NC|AAS|38.430138|-121.109589|31.0|Arroyo Seco|1984-11-27T18:45:00|
NC|ABJ|39.165771|-121.192993|434.0|Bob Jauregui Site|1984-01-01T00:00:00|
NC|AFD|38.945961|-120.968971|505.0|Forest Hills Divide #2|2008-06-05T16:29:00|
NC|AOH|39.376266|-121.257668|410.0|Oregon House|1984-01-01T00:00:00|
NC|ASMB|38.82365|-120.68499|1182.0|Slate Mountain|2010-06-22T23:49:00|
NC|BAP|36.18042|-121.644402|1193.0|Anderson Peak|1985-06-27T17:27:00|
NC|BAV|36.645954|-121.030151|572.0|Antelope Valley|1984-01-01T00:00:00|
NC|BBGB|36.578484|-121.039566|1089.0|Big Mountain #3|2008-06-27T20:52:00|
NC|BBN|36.509998|-121.0755|412.0|San Benito #1|1984-01-01T00:00:00|
NC|BCC|36.5413|-121.74248|244.0|Calera Canyon|2019-03-04T00:00:00|
NC|BCG|36.709618|-121.342842|250.0|Cienega Road|1984-01-01T00:00:00|
NC|BCW|36.306477|-121.566879|1505.0|Chews Ridge|1985-06-28T18:39:00|
NC|BEH|36.664803|-121.175385|334.0|Elkhorn Ranch|1984-01-01T00:00:00|
NC|BEM|36.661072|-121.096786|464.0|Emmet|1984-01-01T00:00:00|
NC|BHR|36.72747|-121.266541|175.0|Hodges Ranch|1984-01-01T00:00:00|
NC|BHW|36.38445|-121.3781|206.0|Hahn Winery|2019-04-19T00:00:00|
NC|BJC|36.547001|-121.392166|173.0|Johnson Canyon #1|1984-01-01T00:00:00|
NC|BJF|36.29283|-121.40327|722.0|Juan Fiesta|2019-04-19T00:00:00|
NC|BJOB|36.610867|-121.314667|1052.0|Mount Johnson|2007-05-16T00:00:00|
NC|BKC|36.5802|-121.62623|125.0|Kalte Canyon|2019-04-22T00:00:00|
NC|BLR|36.667|-121.273315|189.0|Lewis Ranch #1|1984-01-01T00:00:00|
NC|BMS|36.663078|-120.792923|780.0|Mercy Hot Springs|1984-01-01T00:00:00|
NC|BPC|36.573399|-121.626862|173.0|Pine Canyon #3|1984-01-01T00:00:00|
NC|BPE|36.405915|-121.491651|1354.3|Palo Escrito|2019-06-27T00:00:00|
NC|BPI|36.490063|-121.169579|301.0|Pinnacles|1984-01-01T00:00:00|
NC|BPO|36.228378|-121.7677|330.0|Post Ranch|1991-12-17T02:00:00|
NC|BPOB|36.22789|-121.76717|340.0|Post Ranch|2019-11-27T00:00:00|
NC|BPR|36.407131|-121.73056|711.0|Ponciano Ridge|1984-02-05T00:00:00|
NC|BPS|36.30537|-121.8991|102.0|Point Sur|2018-12-07T00:00:00|
NC|BPV|36.70522|-121.25906|381.0|Pinnacle Vineyards|2019-03-13T00:00:00|
NC|BRM|36.845051|-120.824654|343.0|Rolling Bench Mark|1984-01-01T00:00:00|
NC|BRV|36.424683|-121.018967|525.0|Little Rabbit Val #1|1984-01-01T00:00:00|
NC|BSG|36.413845|-121.25515|161.0|Shirttail Gulch|1984-01-01T00:00:00|
NC|BSL|36.776535|-121.35009|142.0|Silva Ranch|1984-01-01T00:00:00|
NC|BSM|36.383835|-121.42717|884.0|Soledad Mountain #1|1985-11-14T20:00:00|
NC|BSR|36.667431|-121.520325|375.0|Salinas Radio Site #2|1984-01-01T00:00:00|
NC|BTV|36.455281|-121.057975|596.0|Topo Valley|2019-05-21T00:00:00|
NC|BVL|36.574894|-121.190086|479.0|Bear Valley|1984-01-01T00:00:00|
NC|BVY|36.746239|-121.415764|647.0|Vineyard|1984-01-01T00:00:00|
NC|C001|37.5215|-121.933762|96.0|Firth Ct Fremont|2009-01-14T00:00:00|
NC|C002|37.558453|-122.034508|7.0|Farnham Dr Newark|2009-03-09T23:45:00|
